Date,Price,Open,High,Low,Vol.,Change %
Sep 12, 2016,48.32,47.81,48.63,46.9,258.76,0.65%
Sep 09, 2016,48.01,49.63,49.7,47.76,262.15,-3.96%
Sep 08, 2016,49.99,48.55,50.14,48.21,327.24,4.19%
Sep 07, 2016,47.98,47.2,48.56,46.97,224.23,1.52%
Sep 06, 2016,47.26,47.43,47.99,46.29,215.06,-0.78%
Sep 05, 2016,47.63,46.7,49.4,46.4,287.95,1.71%
Sep 02, 2016,46.83,45.79,47.02,45.41,279.34,3.04%
Sep 01, 2016,45.45,46.98,47.24,45.32,290.04,-3.38%
Aug 31, 2016,47.04,48.29,48.42,46.96,20.61,-2.75%
Aug 30, 2016,48.37,49.25,49.76,48.23,124.52,-1.81%
Aug 29, 2016,49.26,49.54,49.6,48.97,65.67,-1.32%
Aug 26, 2016,49.92,49.66,50.76,49.12,209.62,0.50%
Aug 25, 2016,49.67,49.03,49.78,48.7,217.13,1.26%
Aug 24, 2016,49.05,49.57,49.87,48.68,280.92,-1.82%
Aug 23, 2016,49.96,49.04,50.21,48.48,314.18,1.63%
Aug 22, 2016,49.16,50.7,50.7,49.07,270.37,-3.38%
Aug 19, 2016,50.88,50.96,51.22,50.32,252.34,-0.02%
Aug 18, 2016,50.89,49.76,51.05,49.52,268.83,2.09%
Aug 17, 2016,49.85,48.88,49.93,48.55,377.40,1.26%
Aug 16, 2016,49.23,48.22,49.36,47.9,331.86,1.82%
Aug 15, 2016,48.35,47.14,48.54,46.84,234.40,2.94%
Aug 12, 2016,46.97,46.18,47.25,45.74,258.00,2.02%
Aug 11, 2016,46.04,43.78,46.3,43.46,335.53,4.52%
Aug 10, 2016,44.05,44.92,45.68,43.81,284.86,-2.07%
Aug 09, 2016,44.98,45.25,45.77,44.76,216.22,-0.90%
Aug 08, 2016,45.39,44.34,45.71,44.24,221.51,2.53%
Aug 05, 2016,44.27,44.18,44.49,43.51,236.87,-0.05%
Aug 04, 2016,44.29,43.36,44.34,42.51,276.42,2.76%
Aug 03, 2016,43.1,41.94,43.47,41.56,320.44,3.11%
Aug 02, 2016,41.8,42.23,43.18,41.51,262.56,-0.81%
Aug 01, 2016,42.14,43.11,43.85,41.87,234.77,-0.75%
Jul 29, 2016,42.46,42.61,42.83,41.8,21.54,-0.56%
Jul 28, 2016,42.7,43.53,43.72,42.56,110.09,-1.77%
Jul 27, 2016,43.47,44.55,44.91,43.27,194.57,-3.12%
Jul 26, 2016,44.87,44.82,44.96,44.14,240.33,0.34%
Jul 25, 2016,44.72,45.7,45.87,44.55,188.81,-2.12%
Jul 22, 2016,45.69,46.21,46.5,45.17,243.49,-1.10%
Jul 21, 2016,46.2,47.17,47.56,46.05,237.48,-2.06%
Jul 20, 2016,47.17,46.76,47.49,45.9,296.30,1.09%
Jul 19, 2016,46.66,46.93,47.49,46.53,214.36,-0.64%
Jul 18, 2016,46.96,47.92,47.95,46.5,230.50,-1.37%
Jul 15, 2016,47.61,47.03,48.25,46.65,260.43,0.51%
Jul 14, 2016,47.37,46.59,47.47,46.34,289.40,2.40%
Jul 13, 2016,46.26,48.13,48.2,46.09,299.80,-4.56%
Jul 12, 2016,48.47,46.17,48.57,46.09,321.53,4.80%
Jul 11, 2016,46.25,46.49,47.1,45.9,229.28,-1.09%
Jul 08, 2016,46.76,46.6,47.23,46.15,237.28,0.78%
Jul 07, 2016,46.4,49.12,49.59,46.15,328.10,-4.92%
Jul 06, 2016,48.8,48.06,49.31,47.17,279.12,1.75%
Jul 05, 2016,47.96,50.03,50.05,47.54,305.74,-4.27%
Jul 04, 2016,50.1,50.6,50.75,50.03,113.45,-0.50%
Jul 01, 2016,50.35,49.9,50.66,49.25,248.69,1.35%
Jun 30, 2016,49.68,50.21,50.28,49.47,25.41,-1.84%
Jun 29, 2016,50.61,48.84,50.74,48.62,112.96,4.18%
Jun 28, 2016,48.58,47.61,48.79,47.47,173.18,3.01%
Jun 27, 2016,47.16,48.43,48.9,46.69,243.26,-2.58%
Jun 24, 2016,48.41,50.69,50.74,47.54,351.74,-4.91%
Jun 23, 2016,50.91,50.14,51.18,49.89,246.95,2.06%
Jun 22, 2016,49.88,51.06,51.24,49.18,282.72,-1.46%
Jun 21, 2016,50.62,50.43,51.1,49.46,256.95,-0.06%
Jun 20, 2016,50.65,49.42,50.68,49.24,244.41,3.01%
Jun 17, 2016,49.17,47.28,49.4,47.25,222.73,4.20%
Jun 16, 2016,47.19,48.56,48.77,46.94,287.30,-3.63%
Jun 15, 2016,48.97,49.22,49.8,48.39,298.84,-1.73%
Jun 14, 2016,49.83,49.89,50.05,49.2,224.01,-1.03%
Jun 13, 2016,50.35,50.42,50.79,49.61,208.81,-0.38%
Jun 10, 2016,50.54,51.91,52.1,50.33,210.06,-2.71%
Jun 09, 2016,51.95,52.74,52.86,51.53,213.12,-1.07%
Jun 08, 2016,52.51,51.41,52.8,51.32,260.75,2.08%
Jun 07, 2016,51.44,50.46,51.54,50.28,208.82,1.76%
Jun 06, 2016,50.55,49.83,50.83,49.72,223.76,1.83%
Jun 03, 2016,49.64,49.95,50.33,49.3,227.82,-0.80%
Jun 02, 2016,50.04,49.63,50.3,48.84,270.12,0.64%
Jun 01, 2016,49.72,49.65,50,48.65,266.00,0.06%
May 31, 2016,49.69,49.7,50.05,49.23,28.69,-0.14%
May 30, 2016,49.76,49.43,49.83,48.92,23.09,0.89%
May 27, 2016,49.32,49.42,49.55,48.69,130.18,-0.54%
May 26, 2016,49.59,49.76,50.51,49.25,221.26,-0.30%
May 25, 2016,49.74,49.16,49.96,48.91,237.79,2.32%
May 24, 2016,48.61,48.35,49.24,47.8,211.58,0.54%
May 23, 2016,48.35,48.72,48.84,47.58,225.09,-0.76%
May 20, 2016,48.72,48.9,49.39,48.07,255.58,-0.18%
May 19, 2016,48.81,48.67,48.88,47.38,302.10,-0.25%
May 18, 2016,48.93,49.36,49.85,48.45,319.81,-0.71%
May 17, 2016,49.28,49.03,49.75,48.57,262.32,0.63%
